epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,42446.6,1.07623,0.38844,0.00749,0.97913,0.96018,0.98672,0.71549,1.09564,0.31733,0.00897,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,42924.3,1.05942,0.38607,0.00731,0.97155,0.96537,0.98631,0.71611,1.09544,0.31826,0.00901,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,43402.8,1.05124,0.39021,0.00735,0.96929,0.96979,0.98669,0.71679,1.09227,0.31723,0.00902,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,43880,1.05536,0.3872,0.00739,0.97448,0.9677,0.98788,0.71718,1.09279,0.31377,0.00903,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,44356.4,1.04842,0.38775,0.00723,0.97259,0.96637,0.98716,0.71583,1.09097,0.31483,0.00904,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,44871.2,1.04723,0.37817,0.00724,0.97445,0.96655,0.9874,0.71735,1.08919,0.31095,0.009,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,45471.2,0.99578,0.29467,0.00828,0.97639,0.96741,0.98786,0.71512,1.09084,0.31023,0.00899,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,46033.7,0.98234,0.28858,0.00819,0.97839,0.9654,0.98795,0.71901,1.09144,0.30871,0.00897,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,46597.2,0.9739,0.28963,0.00812,0.97903,0.96735,0.98853,0.71924,1.08975,0.31166,0.00894,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,47157,0.96412,0.28728,0.00798,0.975,0.96915,0.98857,0.71887,1.08898,0.31596,0.00893,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,47710.7,0.95815,0.28626,0.00793,0.9752,0.96637,0.98805,0.71833,1.09054,0.31463,0.00896,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,48269,0.96345,0.28832,0.00791,0.97541,0.96639,0.98817,0.71737,1.08932,0.31466,0.00893,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,48829.9,0.9479,0.27942,0.00773,0.97585,0.96509,0.98787,0.71808,1.08976,0.31469,0.00893,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,49391.2,0.94652,0.27649,0.00772,0.97163,0.96795,0.98774,0.71871,1.08973,0.31437,0.00891,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,49954.2,0.9418,0.27542,0.00772,0.97827,0.96551,0.98759,0.71965,1.08889,0.31309,0.0089,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,50514.4,0.94064,0.27415,0.0076,0.97489,0.9654,0.98726,0.71899,1.0886,0.3127,0.00889,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
